Serliv;Analisando Usabilidade, Responsividade, HTML e CSS do trabalho de um Aluno
JAVAPRO;Escape from Legacy Hell: A Java App Cloud Transformation | Lucas Stramandinoli & Tino Reichardt (EN)
Idently;3: The cool trick to reshaping NumPy arrays
Fronteiras da Engenharia de Software;Gleam, as a canvas for laying out concepts, with Raúl Chouza
Fronteiras da Engenharia de Software;Uma introdução a Potigol, com Leonardo Lucena
Fronteiras da Engenharia de Software;Inside Erlang Battleground: A Conversation with Brujo Benavides
Erick Wendel;OpenTelemetry na Prática: Monitore Qualquer App com Custo Zero
DioLinux;openSUS 16 Leap
Matheus Leal;COMO INSTALAR O GRAFANA (PASSO A PASSO COMPLETO)
Matheus Leal;Desafio de vaga Java Spring Boot: construa um CRM do zero
Rocketseat;Bun & Elysia (API com Bun e Better Auth)
Téo me Why;Aprenda SQL - Dia 21: EXERCÍCIOS
Téo me Why;Aprenda SQL - Dia 22: SubQueries
Téo me Why;Aprenda SQL - Dia 23: CTEs
Téo me Why;Aprenda SQL - Dia 24: EXERCÍCIOS
Téo me Why;Aprenda SQL - Dia 25: ENUMERANDO LINHAS
Téo me Why;Aprenda SQL - Dia 26: WINDOW FUNCTIONS
Téo me Why;Aprenda SQL - Dia 27: EXERCÍCIOS
Téo me Why;Aprenda SQL - Dia 28: DDL e DML
Téo me Why;Aprenda SQL - Dia 29: PROJETO FINAL
João Ribeiro;API PHP PURO #01 | GERAR DADOS FAKE
João Ribeiro;API PHP PURO #03 | FORMATO JSON - PADRÃO MAIS USADO
João Ribeiro;API PHP PURO #04 | HTTP CLIENTS - Postman
Prof. Juliano Ramos;Gravando terminal com Asscinnema
Prof. Juliano Ramos;Instale o Mac OS, Windows Insider e Distros Linux com virtualização
Prof. Juliano Ramos;Remover para a Lixeira pelo CLI
Prof. Juliano Ramos;Linux Mint/Debian: Como Ter um Kernel Mais Agressivo
DATA ICMC;Aula 2 - Curso SQL
DATA ICMC;Aprendizado por Reforço - Aula 4 - Monte Carlo
Gustavo Caetano;APP FULL-STACK DO ZERO - O INÍCIO #1
Gustavo Caetano;Introdução aos métodos HTTP - APP FULL-STACK DO ZERO #2
Gustavo Caetano;Entendendo o CRUD - APP FULL-STACK DO ZERO #3
Gustavo Caetano;Configuração do Entity Framework + Migração do Banco de Dados - APP FULL-STACK DO ZERO #4
Gustavo Caetano;Método GET - APP FULL-STACK DO ZERO #5
Gustavo Caetano;Método POST - APP FULL-STACK DO ZERO #6
Gustavo Caetano;Método PUT - APP FULL-STACK DO ZERO #7
Gustavo Caetano;Método DELETE - APP FULL-STACK DO ZERO #8
Gustavo Caetano;Método Documentação com SWAGGER - APP FULL-STACK DO ZERO #9
Clube Full-Stack;Upload com Barra de Progresso: PHP + JavaScript + Alpine.js
Clube Full-Stack;Nuxt: Criando Sistema de Busca – Aula 22
Clube Full-Stack;Validação em Tempo Real com Livewire – Sem Recarregar a Página
Computação Crítica por Victor Osório;Vibe Coding Live X: Dashboard com Angular, IA e Muitos Erros!
LINUXtips;APRENDA GitHub Actions fazendo! Projeto prático + certificado GRÁTIS
Rodrigo Gonçalves;EXPO SDK 54: Builds iOS mais rápidas, GlassEffect, Android 16, Reanimated v4.
JORNADA RPA;AULA 3 - TORNE-SE UM ESPECIALISTA EM PYTHON RPA
JORNADA RPA;AULA 2 - Usando RestAPI em seu robô Python RPA
Matheus Leandro Ferreira;TUDO QUE EU SEI - CURSO COMPLETO DE JAVA (AULA 1)
leandronsp;live coding
Coffe + Software;Spring Security contributor Josh Cummings
Bóson Treinamentos;Engenharia de Prompt - Prompts Básicos, Exemplos e Exercícios - 02
